COMMAND     PID                         USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
apm-serve  4411                         root   29u  IPv4 1745437308      0t0  TCP 127.0.0.1:8200->127.0.0.1:43412 (ESTABLISHED)
apm-serve  4411                         root   30u  IPv4 1908200140      0t0  TCP 127.0.0.1:8200->127.0.0.1:20448 (ESTABLISHED)
apm-serve  4411                         root   31u  IPv4 2027632467      0t0  TCP 127.0.0.1:8200->127.0.0.1:22774 (ESTABLISHED)
apm-serve  4411                         root   34u  IPv4 1969704009      0t0  TCP 175.209.34.63:33408->175.209.34.86:9200 (ESTABLISHED)
apm-serve  4411                         root   94u  IPv4     587755      0t0  TCP 175.209.34.63:37116->175.209.34.86:9200 (ESTABLISHED)
zmqgw      4741                         root    8u  IPv4      27156      0t0  UDP 127.0.0.1:24106 
zmqgw      4741                         root    9u  IPv4      26245      0t0  UDP 127.0.0.1:24107 
zmqgw      4741                         root   10u  IPv4      26246      0t0  UDP 127.0.0.1:24108 
zmqgw      4741                         root   28u  IPv4        525      0t0  TCP 127.0.0.1:7765 (LISTEN)
zmqgw      4741                         root   31u  IPv4        529      0t0  TCP 127.0.0.1:7755 (LISTEN)
zmqgw      4741                         root   45u  IPv4      21962      0t0  TCP 127.0.0.1:7756 (LISTEN)
zmqgw      4741                         root   52u  IPv4      21965      0t0  TCP *:7780 (LISTEN)
zmqgw      4741                         root   79u  IPv4      37173      0t0  TCP *:30333 (LISTEN)
zmqgw      4741                         root   84u  IPv4      47777      0t0  TCP 127.0.0.1:7756->127.0.0.1:62128 (ESTABLISHED)
zmqgw      4741                         root   85u  IPv4      47850      0t0  TCP 127.0.0.1:7755->127.0.0.1:18168 (ESTABLISHED)
zmqgw      4741                         root   86u  IPv4      47851      0t0  TCP 127.0.0.1:7755->127.0.0.1:18170 (ESTABLISHED)
zmqgw      4741                         root   87u  IPv4      47852      0t0  TCP 127.0.0.1:7755->127.0.0.1:18172 (ESTABLISHED)
zmqgw      4741                         root   88u  IPv4      47853      0t0  TCP 127.0.0.1:7755->127.0.0.1:18174 (ESTABLISHED)
zmqgw      4741                         root   89u  IPv4      47854      0t0  TCP 127.0.0.1:7755->127.0.0.1:18176 (ESTABLISHED)
zmqgw      4741                         root   90u  IPv4      58444      0t0  TCP 127.0.0.1:7780->127.0.0.1:65316 (ESTABLISHED)
zmqgw      4741                         root   91u  IPv4      43450      0t0  TCP 127.0.0.1:64336->127.0.0.1:30685 (ESTABLISHED)
zmqgw      4741                         root   92u  IPv4      43451      0t0  TCP 127.0.0.1:64338->127.0.0.1:30685 (ESTABLISHED)
zmqgw      4741                         root   93u  IPv4      26554      0t0  TCP 127.0.0.1:33794->127.0.0.1:30677 (ESTABLISHED)
zmqgw      4741                         root   94u  IPv4 2023443164      0t0  TCP 127.0.0.1:17534->127.0.0.1:30691 (CLOSE_WAIT)
zmqgw      4741                         root   95u  IPv4  523959908      0t0  TCP 127.0.0.1:18732->127.0.0.1:30685 (ESTABLISHED)
nginx      4858                         root    8u  IPv4      20839      0t0  TCP *:25501 (LISTEN)
nginx      4858                         root    9u  IPv4      20840      0t0  TCP *:35504 (LISTEN)
nginx      4858                         root   10u  IPv4      20841      0t0  TCP *:35508 (LISTEN)
nginx      4860                        nginx    7u  IPv4 2027644698      0t0  TCP 175.209.34.63:35504->116.44.240.195:55546 (ESTABLISHED)
nginx      4860                        nginx    8u  IPv4      20839      0t0  TCP *:25501 (LISTEN)
nginx      4860                        nginx    9u  IPv4      20840      0t0  TCP *:35504 (LISTEN)
nginx      4860                        nginx   10u  IPv4      20841      0t0  TCP *:35508 (LISTEN)
nginx      4860                        nginx   45u  IPv4 2027645248      0t0  TCP 175.209.34.63:35504->183.101.226.13:60455 (ESTABLISHED)
nginx      4860                        nginx   46u  IPv4 2027647051      0t0  TCP 175.209.34.63:35504->117.111.6.120:1072 (ESTABLISHED)
nginx      4860                        nginx   47u  IPv4 2027645500      0t0  TCP 175.209.34.63:35504->210.183.14.54:50770 (ESTABLISHED)
nginx      4860                        nginx   48u  IPv4 2027642642      0t0  TCP 175.209.34.63:35504->112.170.47.8:58513 (ESTABLISHED)
nginx      4860                        nginx   49u  IPv4 2027643913      0t0  TCP 175.209.34.63:35504->121.135.197.132:52656 (ESTABLISHED)
nginx      4860                        nginx   50u  IPv4 2027647248      0t0  TCP 175.209.34.63:35504->119.198.219.198:50005 (ESTABLISHED)
nginx      4860                        nginx   51u  IPv4 2027643633      0t0  TCP 175.209.34.63:35504->125.179.71.22:50799 (ESTABLISHED)
nginx      4860                        nginx   52u  IPv4 2027645001      0t0  TCP 175.209.34.63:35504->49.173.115.98:65187 (ESTABLISHED)
nginx      4860                        nginx   53u  IPv4 2027644014      0t0  TCP 175.209.34.63:35504->106.255.78.101:56462 (ESTABLISHED)
nginx      4860                        nginx   55u  IPv4 2027642712      0t0  TCP 175.209.34.63:35504->116.35.175.178:60567 (ESTABLISHED)
nginx      4860                        nginx   56u  IPv4 2027643553      0t0  TCP 175.209.34.63:35504->116.42.218.191:58893 (ESTABLISHED)
nginx      4860                        nginx   57u  IPv4 2027645263      0t0  TCP 175.209.34.63:35504->121.138.66.23:51254 (ESTABLISHED)
